,cells imaged, cells dissected,percentage_of_all_cells
bin1,937,795,0.01691539396530232
bin2,10794,9113,0.1948610058286801
bin3,5021,4387,0.09064268207020593
bin4,4540,3968,0.08195932614991733
bin5,4839,4270,0.08735708793820483
bin6,5121,4525,0.09244795357130543
cells >= 0.98,31252,27058,0.5641834495236159
all_imaged_cells,5539333,NA,100
