gene	color	max_enrichment_bins
PAPSS1	#eef5fc	1.3920046984722152
PARD3	#dfecf7	1.9454866036643055
PARM1	#dceaf6	2.0831306420996896
PARP14	#e3eef8	1.8338189815313946
PARP15	#e6f0f9	1.689082543442188
PARP16	#f2f8fd	1.2092379991554107
PARP2	#f6faff	1.0623397203000808
PARP4	#f2f8fd	1.214236560405057
PARP6	#f5f9fe	1.1036896295399965
PARP9	#caddf0	2.8723597811546147
PARVB	#bed8ec	3.1954672733031178
PATE1	#deebf7	2.0279825588277407
PATE4	#cee0f2	2.6839083366568905
PATL1	#f0f6fd	1.3116483442864522
PAX2	#e1edf8	1.876639086620927
PAX7	#bad6eb	3.2945538346945056
PAX9	#f3f8fe	1.1581017570921337
PBDC1	#cfe1f2	2.639381718131964
PBK	#ebf3fb	1.473087428022925
PBRM1	#d3e3f3	2.4711802988338483
PBX2	#e7f0fa	1.6825349639580747
PBX3	#f0f6fd	1.3014075554937823
PCCB	#dfebf7	1.9842141678250467
PCDH17	#d9e7f5	2.244724955153848
PCDH18	#c9ddf0	2.8929706184271415
PCDH20	#eff6fc	1.3192983117965846
PCDH7	#bfd8ed	3.175021352524086
PCDH8	#f2f7fd	1.2202662328441571
PCDHA10	#dfebf7	1.9852029411929888
PCDHA11	#e3eef9	1.7980492092882057
PCDHA9	#c7dcef	2.965062858175755
PCDHAC1	#e7f0fa	1.671189361957285
PCDHB5	#e7f1fa	1.6290404493165795
PCDHGA1	#c7dcef	2.957288553572008
PCDHGA10	#e1edf8	1.8836185657049105
PCDHGA3	#eaf2fb	1.5443419378536216
PCDHGB5	#f1f7fd	1.2644263700117384
PCDHGB7	#e8f1fa	1.6200902101523138
PCDHGC3	#cbdef1	2.784065289359909
PCDHGC5	#eaf2fb	1.544757231381436
PCGF6	#f6faff	1.043995383572061
PCIF1	#b9d6ea	3.3316230991164555
PCK1	#f7fbff	1.0247433241315553
PCK2	#ecf4fb	1.4492941756704711
PCMT1	#f5f9fe	1.1234648882130116
PCNP	#caddf0	2.8522215110020737
PCOLCE	#eaf2fb	1.5380770468082532
PCOLCE2	#e7f0fa	1.6747649223779186
PCSK7	#e5eff9	1.741448067826641
PCSK9	#d4e4f4	2.428540208115056
PCTP	#f7fbff	1.0052190232603169
PCYOX1L	#f5fafe	1.0932334272308073
PCYT1B	#d1e2f3	2.542019687503647
PDCD1LG2	#f7fbff	1.0127167093762102
PDCL2	#e7f0fa	1.6596826828427058
PDCL3	#e9f2fa	1.581621742388705
PDE10A	#e6f0f9	1.7105571955105254
PDE11A	#dceaf6	2.083653404781777
PDE12	#ecf4fb	1.4551332515469324
PDE1B	#eef5fc	1.374779542099053
PDE4C	#eaf3fb	1.5147898737222367
PDE6B	#f6faff	1.0488941449887499
PDE6C	#ebf3fb	1.4898618805767527
PDE6D	#edf4fc	1.413115816826233
PDE8B	#eff6fc	1.3167740661392142
PDE9A	#f2f7fd	1.231969336186299
PDF	#e3eef9	1.7891831359886203
PDGFB	#eff6fc	1.3139713012332968
PDGFRA	#e5eff9	1.731950119546769
PDGFRB	#d9e8f5	2.213420255299963
PDGFRL	#f5fafe	1.0871788306039865
PDHA1	#d2e3f3	2.508539242467183
PDHA2	#ecf4fb	1.4528506494187907
PDHX	#f6faff	1.0583919448183519
PDIA4	#e3eef9	1.782055304576378
PDIA5	#c2d9ee	3.112526156941861
PDK3	#d9e8f5	2.2177652742661835
PDLIM1	#d7e6f5	2.3070038315525783
PDLIM7	#f2f7fd	1.2229860176553289
PDP1	#eaf2fb	1.5615716941297029
PDP2	#dce9f6	2.1083049693891587
PDPN	#cddff1	2.7392958025798544
PDSS1	#d4e4f4	2.4101736898537167
PDXK	#dae8f6	2.1819126713763675
PDXP	#f2f7fd	1.2462326963123531
PDYN	#d3e4f3	2.4520934864387476
PDZD11	#d9e7f5	2.2412042307447835
PDZD8	#c8dcf0	2.9136596026435977
PEG10	#f1f7fd	1.2582666472554414
PEG3	#d3e3f3	2.47586509431376
PELI1	#f6faff	1.051420047232505
PELI3	#dae8f6	2.1799322949468487
PELO	#c1d9ed	3.13147712925041
PEMT	#e3eef8	1.8158361536938963
PENK	#f6faff	1.0563342742118627
PET117	#e5eff9	1.727238795717984
PEX11G	#dce9f6	2.10784720049552
PF4	#f7fbff	1.0019315641863793
PFAS	#e7f0fa	1.670579248483573
PFDN1	#d8e7f5	2.2792720616549693
PFDN4	#d4e4f4	2.4103646175953757
PFDN5	#ecf4fb	1.4666589174138829
PFKL	#eaf3fb	1.5245938712798708
PFKM	#eaf3fb	1.5213735299957931
PFN2	#f5f9fe	1.0943750070555023
PFN4	#ddeaf7	2.04159772713751
PGA3	#b7d4ea	3.404630928922694
PGA4	#f7fbff	1.0270197573815119
PGA5	#e7f1fa	1.6558301198883965
PGAM1	#c9ddf0	2.8877066878679396
PGAM5	#eaf3fb	1.5263177018867857
PGAP1	#c6dbef	3.0001994620444994
PGBD1	#f0f6fd	1.309307156840278
PGBD2	#f4f9fe	1.1308531414473635
PGLYRP2	#f5f9fe	1.0996818711634813
PGLYRP4	#cbdef1	2.8089986460565064
PGM1	#e9f2fa	1.5729951782258287
PGPEP1L	#eff6fc	1.320849601391954
PGR	#eef5fc	1.3856534844269925
PGRMC1	#f0f6fd	1.3014764644712156
PGRMC2	#eef5fc	1.359680625200308
PHACTR2	#ebf3fb	1.4950143737230133
PHACTR3	#e7f1fa	1.6396568871230848
PHACTR4	#cbdef1	2.803513741662783
PHC3	#d9e7f5	2.2473862014826715
PHEX	#ecf4fb	1.4626946435877444
PHF10	#f3f8fe	1.160565815427745
PHF12	#d6e6f4	2.333987368739668
PHF13	#e9f2fa	1.579274008994459
PHF14	#e8f1fa	1.6048805442301088
PHF20L1	#f4f9fe	1.1421230442988428
PHF23	#dfecf7	1.957792275887658
PHF6	#eaf2fb	1.5491865392594661
PHKG2	#d9e7f5	2.239150716933728
PHLDA1	#f2f8fd	1.2130537270210604
PHLDA2	#f5fafe	1.0754553575655628
PHLDB2	#c1d9ed	3.1330936334752755
PHOSPHO1	#f4f9fe	1.1418612311062522
PHOX2A	#e9f2fa	1.573447605329833
PHOX2B	#dae8f6	2.168364099294843
PHYHD1	#e9f2fa	1.563427306213356
PI15	#ddeaf7	2.042084706747297
PI4KB	#eaf3fb	1.5021214630443405
PIAS2	#c9ddf0	2.8911240967255645
PICALM	#e1edf8	1.8939038967255435
PICK1	#f4f9fe	1.1351993053177059
PIGN	#e4eff9	1.7541182577846433
PIGU	#f2f7fd	1.2290482697655245
PIGW	#b4d3e9	3.4594576877711267
PIGZ	#ddeaf7	2.043776415936914
PIK3C2A	#e1edf8	1.9039048459911003
PIK3C2B	#f5f9fe	1.0965431028152646
PIK3C3	#6caed6	4.993603898766079
PIK3CA	#eef5fc	1.3881488510844981
PIK3CD	#bdd7ec	3.232648504443649
PIK3IP1	#f5fafe	1.0659252608029481
PIK3R3	#e9f2fa	1.5773915364125288
PIK3R4	#84bcdb	4.517052934990591
PIKFYVE	#ccdff1	2.7509071216527134
PIM1	#f7fbff	1.0243510022912334
PINLYP	#ecf4fb	1.4658226447366407
PIP	#e4eff9	1.762574811731782
PIP4K2C	#d0e2f2	2.592705500431463
PIP5K1C	#d6e5f4	2.34456947746675
PIRT	#e4eff9	1.7811479001925008
PITPNA	#f2f7fd	1.2268874053054044
PITPNM3	#cfe1f2	2.646658449892575
PITX2	#f7fbff	1.0107733674099997
PIWIL1	#f4f9fe	1.1481975292853739
PIWIL3	#eef5fc	1.3897313056307583
PJA2	#f5f9fe	1.1012905435289302
PKD2	#d8e7f5	2.279226430434607
PKD2L1	#f6faff	1.0506268482078571
PKDREJ	#ddeaf7	2.0468415227882955
PKIA	#d7e6f5	2.298570742204484
PKN3	#f4f9fe	1.1445114643637053
PLA1A	#ebf3fb	1.492123315451285
PLA2G12A	#eff6fc	1.3408154179965261
PLA2G15	#eff6fc	1.323634326943401
PLA2G2A	#d5e5f4	2.4052711309757657
PLA2G2D	#deebf7	2.008858467975658
PLA2G4B	#f2f7fd	1.2424203508788667
PLA2G6	#ecf4fb	1.4603346061494058
PLAC1	#f5f9fe	1.0967300587927444
PLAC9	#d7e6f5	2.283670094364411
PLAUR	#d9e8f5	2.199604895943368
PLCB3	#e7f0fa	1.6739732203553916
PLCD1	#e6f0f9	1.7181958764123115
PLCG1	#f1f7fd	1.258637634359389
PLCH1	#f5f9fe	1.1208249796952177
PLCH2	#e3eef9	1.7896733731583794
PLCL2	#f1f7fd	1.260132700668398
PLD2	#dae8f6	2.1748628457567736
PLEC	#bad6eb	3.2994797768644575
