,log2FC,p-value
ASB2,3.0093103387861855,0.00071493217753655
FKBP7,4.141281704136856,0.0008603073194217671
RPS6KC1,5.2745067154664245,0.0054239701796923185
TMEM240,3.243976249223869,0.0008547854955411139
TNFRSF25,1.655186574999965,0.0009200156394772996
