,celltype,percentage_labelled_cells
0,Hela,7.5671570195075155
1,Hela,7.842950850841335
2,Hela,7.853024039600832
3,Vero,15.702552132649242
4,Vero,16.108000497698146
5,Vero,16.913232519346987
